area_sqft,bedrooms,bathrooms,floors,garage_spots,age_years,distance_to_city_km,locality,condition,has_garden,has_pool,furnished,price_inr
1775,5,5,1,1,23,2.9,Urban,Good,0,0,Furnished,9087000
1516,3,3,1,1,27,2.3,Rural,Good,0,0,Unfurnished,2867000
837,4,3,1,1,7,19.0,Suburban,Good,1,0,Semi-Furnished,2774000
1378,4,4,1,0,27,11.1,Suburban,Good,1,0,Furnished,4250000
1576,2,1,2,0,35,7.1,Rural,Excellent,0,0,Furnished,3348000
4493,3,3,1,1,25,17.8,Suburban,Excellent,1,0,Semi-Furnished,15269000
879,3,2,3,1,7,10.9,Suburban,Average,1,0,Furnished,2930000
992,4,4,1,0,49,16.6,Suburban,Average,1,0,Furnished,1748000
2562,2,1,1,2,27,14.3,Rural,Good,1,0,Semi-Furnished,4785000
4384,2,2,1,2,27,18.0,Urban,Average,1,0,Unfurnished,12782000
564,4,4,1,0,36,12.6,Rural,Good,1,0,Semi-Furnished,644000
3068,4,3,3,2,40,21.2,Suburban,Excellent,1,0,Furnished,11265000
2527,2,2,2,2,35,6.2,Urban,Average,1,1,Unfurnished,8108000
3195,1,1,2,2,26,21.2,Suburban,Average,1,0,Furnished,7662000
1995,5,5,2,0,16,12.9,Suburban,Average,1,0,Unfurnished,4914000
891,3,2,1,1,8,26.4,Suburban,Good,0,0,Unfurnished,2210000
4974,3,3,2,1,32,15.9,Suburban,Good,1,1,Unfurnished,13479000
4061,4,3,1,1,19,29.2,Urban,Average,0,1,Unfurnished,12898000
2778,3,3,2,2,12,18.5,Suburban,Excellent,0,0,Furnished,10459000
3599,4,3,1,1,27,7.5,Rural,Good,1,0,Furnished,7406000
700,2,2,1,2,47,24.8,Urban,Poor,1,0,Furnished,500000
3604,3,2,1,2,28,11.0,Suburban,Good,1,0,Semi-Furnished,10575000
2954,3,2,1,2,12,11.1,Suburban,Good,0,1,Unfurnished,7935000
4145,2,1,1,1,45,1.9,Suburban,Average,1,0,Semi-Furnished,9388000
1304,2,2,1,0,34,16.9,Suburban,Poor,1,0,Semi-Furnished,1675000
3231,5,4,3,1,5,16.5,Suburban,Poor,1,0,Semi-Furnished,6774000
3273,3,3,1,2,17,11.3,Urban,Average,1,0,Unfurnished,10837000
2070,2,1,1,0,4,26.9,Suburban,Excellent,1,0,Semi-Furnished,6630000
3190,5,5,2,1,46,4.7,Urban,Excellent,0,1,Semi-Furnished,15835000
4340,5,4,2,0,24,10.6,Urban,Average,1,1,Furnished,16686000
1528,3,3,1,1,1,10.3,Urban,Average,0,0,Furnished,6346000
1002,4,4,1,2,9,3.7,Urban,Average,0,0,Semi-Furnished,4404000
4993,2,1,2,2,29,15.0,Suburban,Average,1,0,Semi-Furnished,11732000
1370,2,2,1,0,49,20.9,Suburban,Excellent,0,0,Semi-Furnished,2343000
4988,4,4,3,2,44,15.8,Suburban,Average,1,0,Unfurnished,11233000
